*Code,*Name,*Type,"*Tax Code",Description,Dashboard,"Expense Claims","Enable Payments",Balance
10000,Assets,"Current Asset",,,No,No,No,"$10,251,448.90"
11000,"Current Assets","Current Asset",,,No,No,No,"$1,467,048.46"
11100,"Cash on Hand","Current Asset",,,No,No,No,"$697,335.28"
11110,"Mashreq Bank A/C #0496612811",Bank,N-T,,No,No,No,"($36,550.01)"
11120,"CBD - Salary Account",Bank,N-T,,No,No,No,"$8,469.42"
11130,"RAKBANK A/C # 0012391932061",Bank,N-T,,No,No,No,"$572,428.25"
11131,"Electronic Clearing Account","Current Asset",VP5,,No,No,No,$0.00
11140,"Paypal Account","Current Asset",N-T,,No,No,No,"$40,165.67"
11141,"Checkout Rolling Reserves","Current Asset",N-T,,No,No,No,"$76,614.54"
11145,"Checkout Clearing","Current Asset",N-T,,No,No,No,"$49,682.61"
11150,"Imprest Petty Cash Fund",Bank,N-T,,No,No,No,"$2,000.00"
11151,"Petty cash account",Bank,VPX,,No,No,No,"$17,795.08"
11155,"Cash in Transit",Bank,N-T,,No,No,No,$0.00
11160,"Revolving Fund","Current Asset",N-T,,No,No,No,$0.00
11180,"Undeposited Funds","Current Asset",N-T,,No,No,No,"$2,719.50"
11185,"RAK Credit Card",Bank,N-T,,No,No,No,$0.00
11190,"Clearing Account","Current Asset",N-T,,No,No,No,$0.00
11195,"Credit Card Payment Clearing","Current Asset",N-T,,No,No,No,"$4,175.89"
11200,"Trade debtors","Current Asset",,,No,No,No,"$712,108.95"
11210,"Trade Debtors","Current Asset",N-T,,No,No,No,"$712,108.95"
11220,"Less Prov'n for Doubtful Debts","Current Asset",N-T,,No,No,No,$0.00
11400,"Other Current Assets","Current Asset",,,No,No,No,"$57,604.23"
11410,"Loan - to Kiosk","Current Asset",N-T,,No,No,No,"$40,311.04"
11420,"Loan - to Emirates Academy","Current Asset",N-T,,No,No,No,"$80,395.00"
11430,"Loan - to Raw Espressoba","Current Asset",N-T,,No,No,No,$0.00
11440,"Loan - to MOKHA 1450","Current Asset",N-T,,No,No,No,"$57,604.23"
11450,"(Voluntary WithholdingCredits)","Current Asset",N-T,,No,No,No,$0.00
