*ItemCode,ItemName,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount
SR-KEEPC-12OZ-BPRE12-UNBRANDED,Glass 12oz KeepCup Unbranded,,$0.00 ,53250,VPX - VAT on Purchases (5%),,$105.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-T-CBS9L-BRE-NEW,9L Toddy+3Filters+Stand,,$0.00 ,53250,VS5 - VAT on Sales (5%),,$900.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-ORGGC-LM1,Group Gasket Silicone for LM,Group Gasket Silicone for LM Retail Only,$0.00 ,53250,VS5 - VAT on Sales (5%),X,$60.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-BG-AEROMETAL,AeroPress Metal Filter Regular,,$0.00 ,53250,VS5 - VAT on Sales (5%),,$55.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
Unclassified,New Item,,$0.00 ,53250,VS5 - VAT on Sales (5%),,$0.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-N-PBT58-RAW,"Filter Basket, Portafilter Ba",Portafilter Basket 58mm Triple 18-24gms for E61 Commercial Machine,$0.00 ,53250,VS5 - VAT on Sales (5%),X,$80.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-H-BHFSH-BRE,Syphon Beam Heater 220V,Hario Beam Heater For Coffee Syphon 220V,$0.00 ,53250,VS5 - VAT on Sales (5%),X,"$2,125.00 ",43250,VS5 - VAT on Sales (5%),13420,53250
SR-L-MJLA3-RAW,"Milk Jug,  Latte Art 35cl",Milk Jug Latte Art 350ml Heavy Duty Latteria Europa,$23.33 ,53250,VS5 - VAT on Sales (5%),X,$165.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-L-MJLA5-RAW,"Milk Jug,  Latte Art 50cl",Milk Jug Latte Art 500ml Heavy Duty Latteria Europa,$43.00 ,53250,VS5 - VAT on Sales (5%),X,$185.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-L-MJLA7-RAW,"Milk Jug,  Latte Art 75cl",Milk Jug Latte Art 750ml Heavy Duty Latteria Europa,$43.00 ,53250,VS5 - VAT on Sales (5%),X,$205.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-C-GC100-BRE,Grinder Cleaner (Cafetto),Cafetto Grinder Cleaner,,53250,,X,$100.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-R-MJ48R-BRE,"Milk Jug,  48oz  1500ml RW",Milk Jug 1500ml Rattleware,$113.72 ,53250,VS5 - VAT on Sales (5%),X,$135.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SR-H-VDP01-BRE,VD-01W V60 01 Dripper(Plastic),VD-01W V60 01 Dripper(Plastic),$20.00 ,53250,VS5 - VAT on Sales (5%),X,$40.00 ,43250,VS5 - VAT on Sales (5%),13420,53250
SP-BC-BOARD,Electronic Board GS3,,"$1,145.00 ",53250,VS5 - VAT on Sales (5%),X,"$1,720.00 ",43210,VS5 - VAT on Sales (5%),13460,53250
SP-G-PFB50-EUR,Pair Flat Burrs 50mm  -  Spare,Pair Flat Burrs 50mm for Mignon,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$95.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-G-PFB60-EUR,Pair Flat Burrs 60mm  -  Spare,Pair of Flat Burrs 60mm,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$110.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SR-M-SPMPR-RAW,Spare Basket (My Pressi)  -  F,spare group basket Mypressi,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$80.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-R-PIDCB-ROC,PID Control Box ( Rocket)  -,Rocket Control Box V230 RKCTRLBOX,$270.00 ,53600,VS5 - VAT on Sales (5%),X,$650.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-S-HEROC-ROC,Heating Element ( Rocket)  -,Rocket Giotto/Cellini Heating Element 230V 1200W,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$410.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-R-SHAFT-ROC,Shaft ( Rocket)  -  Spare Part,Rocket Shaft,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$200.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-R-VPROC-ROC,Vibration Pump ( Rocket)  -  S,Rocket Vibration Pump V230-50HZ,$100.00 ,53600,VS5 - VAT on Sales (5%),X,$220.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-R-WV1RO-ROC,Water Valve 1W (one way) (Rock,One way water Valve Rocket,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$65.00 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-N-SCNSII-NOU,Shower Screen (Nuova Simonelli,Nuova Simonelli Shower Inbox 056 x 05.5 x 6,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$38.45 ,43250,VS5 - VAT on Sales (5%),13460,53600
SP-N-SCNSI-NOU,Shower Screen (Nuova Simonelli,Nuova Simonelli Shower Screens,$0.00 ,53600,VS5 - VAT on Sales (5%),X,$80.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-SHSCR-RAW,Shower Head Screw   -  Spare P,Shower head Screw,$1.77 ,53600,VS5 - VAT on Sales (5%),X,$10.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SCLMA-RAW,Shower Screen (La Marzocco)  -,Shower Screen,$21.00 ,53600,VS5 - VAT on Sales (5%),X,$80.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-PSNOU-LAM,Pressure Sensor  - LM,"Spare Parts (EM),  Pressure Sensor (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$650.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SEPDP-LAM,Strada EP Display Program-LM,"Spare Parts (EM),  Strada EP Display Program (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$480.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-EWCNO-LAM,Encoder w/ Connectors  -  LM,"Spare Parts (EM),  Encoder w/ Connectors (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$210.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-PSANO-NUO,Potentiometer+Support Assembly,"Spare Parts (EM),  Potentiometer+Support Assembly (La Marzocco)- E2033R",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$335.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-BV38M-LAM,Ball Valve w/ 3/8 M-M  -  LM,"Spare Parts (EM),  Ball Valve w/ 3/8 M-M (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),,$45.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-PSV24-LAM,Proport.Solenoid ValveStradaEP,"Spare Parts (EM),  Proport. Solenoid Valve for Strada EP 24V 12W (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$710.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-CVDEN-LAM,Check Valve Denicromal  -  LM,"Spare Parts (EM),  Check Valve Denicromal (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$85.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-TVBTE-LAM,Thermostatic Valve BodyTea-LM,"Spare Parts (EM),  Thermostatic Valve Body Tea (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),,$190.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SV2W2-LAM,2-WaySolenoidValve 220/240V-LM,"Spare Parts (EM),  2 - WaySolenoid Valve 220/240V -50/60HZ EX L05301 (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$400.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SV3W2-LAM,3 WaySolenoid Valve BDV220/-LM,"Spare Parts (EM),  3 Way Solenoid Valve BDV 220/240AC 50-60 (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$255.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-COL10-LAM,Copper Washer (L100D)  -  LM,"Spare Parts (EM),  Copper Washer (L100D)  (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$5.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SVFFN-LAM,"1/8""-1/4"" Solenoid Valve - LM","Spare Parts (EM),  1/8""-1/4"" Solenoid Valve Fitting  Fitting Nipple (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$10.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SPCNO-LAM,Strada Pump w/ Connector - LM,"Spare Parts (EM),  Strada Pump w/ Connector  (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,"$1,150.00 ",43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-GPE30-LAM,Gear Pump of E3006  -  LM,"Spare Parts (EM),  Gear Pump of E3006  (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,"$1,590.00 ",43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-GMKE3-LAM,Gear Mechanism Kit E3006 - LM,"Spare Parts (EM),  Gear Mechanism Kit for E3006 Pump (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),,$315.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SC220-LAM,Solenoid Coil 220/240V 50HZ-LM,"Spare Parts (EM),  Solenoid Coil 220/240V 50HZ VDE (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$90.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SVPNO-LAM,Solenoid Valve Plunger  -  LM,"Spare Parts (EM),  Solenoid Valve Plunger (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$100.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-ORING-LAM,O-ring 102 Silicon  -  LM,"Spare Parts (EM),  O-ring 102 Silicon (La Marocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$15.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-CWL10-LAM,Copper Washer - LM,"Spare Parts (EM),  Copper Washer (L1001A) (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),,$5.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-LDVNO-LAM,Level Drain Bolt  -  LM,"Spare Parts (EM),  Level Drain Bolt (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$5.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-CWL12-LAM,Copper Washer (L1202A)  -  LM,"Spare Parts (EM),  Copper Washer (L1202A) (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),,$5.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-FGGCF-LAM,Fiber Gasket Group Cover - LM,"Spare Parts (EM),  Fiber Gasket for Group cover (Fiber: Novus 30 Supra) (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),,$25.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-ORGGC-LAM,Portafilter Gasket Group - LM ,"Spare Parts (EM),  O-ring Gasket for Group Cover (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$40.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-IGTGS-LAM,Internal Group Tube GS/3 -LM,"Spare Parts (EM),  Internal Group Tube GS/3 (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$146.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-THSSP-LAM,200L T/H Stainless Steel Pump,"Spare Parts (EM),  200L T/H Stainless Steel Pump (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$610.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-MC10M-LAM,10MF Motor Condenser  -  LM,"Spare Parts (EM),  10MF Motor Condenser (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$105.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SEPPS-LAM,Strada EP Power Supply  -  LM,"Spare Parts (EM),  Strada EP Power Supply (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$980.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-BPSEP-LAM,Board Pumps Strada EP  -  LM,"Spare Parts (EM),  Board Pumps Strada EP (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,"$1,555.00 ",43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-BRAIN-LAM,Brain Strada EP  -  LM,"Spare Parts (EM),  Brain Strada EP (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,"$1,420.00 ",43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-RSSP5-LAM,Rele' Solid State Pump50AMP-LM,"Spare Parts (EM),  Rele' Solid State Pump 50AMP 240V (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$245.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SSTWL-LAM,Solid State Relay w/o LED-LM,"Spare Parts (EM),  Sold State Relay w/o LED 25A 250V (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$151.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-RSS24-LAM,Rele' Solid State24A 480V -LM,"Spare Parts (EM),  Rele' Solid State 24A 480V (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$245.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-PFSNO-LAM,Portafilter Spring  -  LM,"Spare Parts (EM),  Portafilter Spring (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$10.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-KPUSB-LAM,Kit Programmer - USB  -  LM,"Spare Parts (EM),  Kit Programmer - USB (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$650.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-ASVRP-LAM,Anti - Sunction Valve RP -LM,"Spare Parts (EM),  Anti - Sunction Valve RP (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$78.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-OSWVS-LAM,O-ring SteamWandValveShaft-LM,"Spare Parts (EM),  O-ring  Steam Wand Valve Shaft (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$10.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SGNOU-LAM,Seat Gasket - Spare Parts (EM),"Spare Parts (EM),  Seat Gasket (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$10.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-GFRPT-LAM,Gasket Fitting Ruveco Plus-LM,"Spare Parts (EM),  Gasket Fitting Ruveco Plus Treated (La Marzocco",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$15.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-RKSVN-LAM,Retrofit Kit for Steam Vlve-LM,"Spare Parts (EM),  Retrofit Kit for Steam Vlve GB5.02 (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$190.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SV3W9-LAM,Solenoid Valve 3 ways -LM,"Spare Parts (EM),  Solenoid Valve 3 ways 90degree 220-240V 50-60HZ (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$295.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-TKTFT-LAM,Thermostat Klixon Trip -LM,"Spare Parts (EM),  Thermostat Klixon Trip Free Temp 130degree (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$20.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-BSTMR-LAM,Bipolar Safety Thermostat -LM,"Spare Parts (EM),  Bipolar Safety Thermostat w/ Manual Reset (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$65.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-UNIBO-LAM,Universal Board  -  LM,"Spare Parts (EM),  Universal Board (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,"$1,170.00 ",43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-LPBBO-LAM,Linea PB Board  -  LM,"Spare Parts (EM),  Linea PB Board (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$807.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-L-SVRKI-LAM,Steam Valve Rebuild Kit - LM,"Spare Parts (EM),  Steam Valve Rebuild Kit (La Marzocco)",$0.00 ,53600,VS5 - VAT on Sales (5%),X,$70.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-700760-NOU,STEAM KNOB S.MARINO/LISA,,$0.00 ,53600,VPX - VAT on Purchases (5%),,$32.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-700760/A-NOU,WATER VALVE KNOB S.MARINO/LISA,,$0.00 ,53600,VPX - VAT on Purchases (5%),,$32.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-703087-NOU,INTERNAL SPRING FOR VALVE HAND,,$0.00 ,53600,VPX - VAT on Purchases (5%),,$21.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-H1006-NOU,O-RING FOR ADAPTOR,,$0.00 ,53600,VPX - VAT on Purchases (5%),,$30.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-H1023-NOU,O-RING 2-152 SHORE A 70 +-5 FD,,$0.00 ,53600,VPX - VAT on Purchases (5%),,$43.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-I1005-NOU,5X10 SOCKET HEAD S/S BOLT,,$0.00 ,53600,VPX - VAT on Purchases (5%),,$21.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-I1011-NOU,5X14 SOCKET HEAD S/S BOLT,,$0.00 ,53600,VPX - VAT on Purchases (5%),,$21.00 ,43600,VS5 - VAT on Sales (5%),13460,53600
SP-G-L2905-NOU,MOTOR RPM CE L290/5,,$0.00 ,53600,VPX - VAT on Purchases (5%),,"$1,500.45 ",43600,VS5 - VAT on Sales (5%),13460,53600
