*Code,*Name,*Type,"*Tax Code",Description,Dashboard,"Expense Claims","Enable Payments",Balance
10000,Assets,"Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$9,961,186.80"
11000,"Current Assets","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$1,310,011.82"
11100,"Cash on Hand","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$264,223.39"
11110,"Mashreq Bank A/C #0496612811",Bank,"Tax Exempt (0%)",,No,No,No,"($71,654.17)"
11120,"CBD - Salary Account",Bank,"Tax Exempt (0%)",,No,No,No,"$33,909.00"
11130,"RAKBANK A/C # 0012391932061",Bank,"Tax Exempt (0%)",,No,No,No,"$203,146.41"
11131,"Electronic Clearing Account","Current Asset","Tax Exempt (0%)",,No,No,No,$0.00
11140,"Paypal Account","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$40,165.67"
11141,"Checkout Rolling Reserves","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$51,479.57"
11145,"Checkout Clearing","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$34,971.91"
11150,"Imprest Petty Cash Fund",Bank,"Tax Exempt (0%)",,No,No,No,"$6,000.00"
11151,"Petty cash account",Bank,"Tax Exempt (0%)",,No,No,No,"$22,979.46"
11155,"Cash in Transit",Bank,"Tax Exempt (0%)",,No,No,No,$0.00
11160,"Revolving Fund","Current Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
11180,"Undeposited Funds","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$3,292.50"
11185,"RAK Credit Card",Bank,"Tax Exempt (0%)",,No,No,No,$0.00
11190,"Clearing Account","Current Asset","N-T - Not Reportable (0%)",,No,No,No,$0.00
11195,"Credit Card Payment Clearing","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$14,007.71"
11200,"Trade debtors (11200)","Current Asset","Tax Exempt (0%)",,No,No,No,"$988,184.20"
11210,"Trade Debtors (11210)","Current Asset","N-T - Not Reportable (0%)",,No,No,No,"$988,184.20"
